epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,val_r2,learning_rate
1,0.008404,0.06828647,0.00259974,0.0707369,0.09985384,0.8863459,0.003
2,0.00270199,0.07214752,0.00228507,0.07128891,0.1037029,0.87741501,0.003
3,0.00184713,0.05137617,0.00130644,0.05218561,0.08017393,0.92673072,0.003
4,0.00136939,0.04114891,0.00105039,0.03999493,0.06962589,0.94474177,0.003
5,0.00117845,0.03576866,0.00085585,0.03566742,0.06511188,0.95167453,0.003
6,0.00102555,0.03174952,0.00073631,0.0309354,0.06250315,0.95546932,0.003
7,0.0009462,0.02876159,0.00065567,0.02754239,0.06041333,0.95839734,0.003
8,0.00087828,0.02962982,0.00063343,0.02774448,0.06188117,0.95635117,0.003
9,0.00084233,0.027559,0.00059915,0.0260655,0.06017962,0.9587186,0.003
10,0.00082697,0.02662019,0.00061938,0.02500733,0.05764862,0.96211797,0.003
11,0.0008052,0.02522335,0.00056157,0.02359211,0.05777071,0.96195734,0.003
12,0.00076321,0.02625872,0.00058474,0.02466069,0.05848348,0.96101281,0.003
13,0.00074363,0.02387324,0.00055681,0.02262811,0.05603846,0.96420455,0.003
14,0.00076077,0.0245032,0.00055893,0.02293114,0.0558552,0.96443828,0.003
15,0.00073632,0.02345323,0.00057651,0.02208905,0.05585228,0.96444199,0.003
16,0.0007427,0.0229305,0.00054561,0.02160086,0.05574731,0.96457553,0.003
17,0.00080064,0.02500555,0.00056551,0.02333534,0.05747357,0.96234767,0.003
18,0.00072489,0.02200962,0.0005427,0.02107198,0.05613237,0.96408448,0.003
19,0.00072195,0.02179352,0.00060064,0.02111348,0.05569504,0.96464194,0.003
20,0.00070241,0.02286374,0.00051267,0.02137431,0.05672939,0.96331642,0.003
21,0.00067468,0.0211752,0.00053026,0.02003835,0.0557497,0.96457249,0.003
22,0.00066794,0.02135334,0.00051508,0.01999457,0.0555577,0.96481609,0.003
23,0.00067387,0.02021344,0.00050886,0.01919342,0.05532075,0.96511557,0.003
24,0.0006992,0.02093202,0.00054495,0.02037674,0.05557808,0.96479028,0.003
25,0.00069482,0.02340398,0.00061286,0.02242497,0.05593489,0.96433674,0.003
26,0.00068847,0.02040344,0.00052064,0.01944983,0.05498369,0.96553936,0.003
27,0.00063517,0.01976205,0.00050284,0.01898144,0.05541541,0.96499609,0.003
28,0.00062867,0.02063961,0.00051027,0.01992307,0.05540026,0.96501522,0.003
29,0.00062806,0.02001655,0.0004939,0.01907749,0.05482729,0.96573513,0.003
30,0.00061727,0.01898873,0.00047824,0.0178661,0.05430433,0.96638567,0.003
31,0.00062005,0.01851068,0.00049204,0.01784287,0.05461534,0.96599954,0.003
32,0.00059974,0.01886422,0.00047351,0.01795767,0.05404839,0.96670178,0.003
33,0.0006195,0.01875676,0.00050726,0.01828865,0.05538109,0.96503943,0.003
34,0.00061501,0.01889112,0.00048046,0.01807358,0.05425785,0.96644319,0.003
35,0.0006153,0.02031883,0.00053052,0.01977574,0.05498895,0.96553277,0.003
36,0.00060668,0.02054924,0.00048485,0.01984408,0.0538527,0.96694246,0.003
37,0.00059054,0.02519493,0.0006142,0.0243085,0.05538603,0.96503319,0.003
38,0.00065849,0.0211103,0.00053648,0.02005813,0.05443919,0.96621851,0.003
39,0.00065302,0.02387689,0.00060111,0.0229233,0.05463836,0.96597087,0.003
40,0.00058812,0.01833938,0.00047415,0.01771331,0.05416224,0.96656135,0.003
41,0.00058679,0.02003965,0.00047552,0.01886448,0.05363937,0.96720386,0.003
42,0.00058842,0.02128582,0.00054054,0.02035915,0.0542114,0.96650062,0.003
43,0.00057093,0.01776522,0.00047355,0.01781371,0.05476234,0.96581627,0.003
44,0.00053371,0.01768781,0.00044567,0.01703589,0.05338175,0.96751812,0.003
45,0.00052443,0.01890335,0.00048208,0.0182498,0.05385552,0.966939,0.003
46,0.0005439,0.02110569,0.00047953,0.01987792,0.05407938,0.96666358,0.003
47,0.00059936,0.02306397,0.00051745,0.02166774,0.05577818,0.96453629,0.003
48,0.00058046,0.02124331,0.00049454,0.02058242,0.05466156,0.96594197,0.003
49,0.00057527,0.01921468,0.00049805,0.01866115,0.05384127,0.96695649,0.003
50,0.00059731,0.02058452,0.00055496,0.02024841,0.05480346,0.96576491,0.003
51,0.00057215,0.0180139,0.0004629,0.01781813,0.05513368,0.9653511,0.003
52,0.00055301,0.02134072,0.00050022,0.02034764,0.05571254,0.9646197,0.003
53,0.00051177,0.01589823,0.00041917,0.01557052,0.05290839,0.96809163,0.003
54,0.00047588,0.01590989,0.00045304,0.01626634,0.05454903,0.96608205,0.003
55,0.00047779,0.01663013,0.00044093,0.01703057,0.05363929,0.96720395,0.003
56,0.0004579,0.01454297,0.00042311,0.01489527,0.05363167,0.96721327,0.003
57,0.00045429,0.01571597,0.00047508,0.01657936,0.05622381,0.96396737,0.003
58,0.00049436,0.01718428,0.00050012,0.01748029,0.05608919,0.96413971,0.003
59,0.00048722,0.01542931,0.00043116,0.01564196,0.05376263,0.96705295,0.003
60,0.00045632,0.01528725,0.0004472,0.01633338,0.05485914,0.96569531,0.003
61,0.00044955,0.01583771,0.00044296,0.01666115,0.05418559,0.96653251,0.003
62,0.00042921,0.01418382,0.0004167,0.01459731,0.05327979,0.96764209,0.003
63,0.00045104,0.01623166,0.00044445,0.01716742,0.05481123,0.9657552,0.003
64,0.00044983,0.01708334,0.00046818,0.01818063,0.05475958,0.96581971,0.003
65,0.00044714,0.01550085,0.00044626,0.01658283,0.05496852,0.96555837,0.003
66,0.00042973,0.0148906,0.00040997,0.01533747,0.0536076,0.96724268,0.003
67,0.00044484,0.01592849,0.00041335,0.01603312,0.05365791,0.96718118,0.003
68,0.00041184,0.0142701,0.00046899,0.01557205,0.05662557,0.96345057,0.003
69,0.00044193,0.01507913,0.00041084,0.01537669,0.05302046,0.96795631,0.003
70,0.00043662,0.01490035,0.0004197,0.01574504,0.05438148,0.96629009,0.003
71,0.00042293,0.01441489,0.00042978,0.015321,0.05436018,0.9663165,0.003
72,0.00045771,0.0168289,0.00054988,0.01759073,0.05903932,0.9602682,0.003
73,0.00053417,0.01461398,0.00040686,0.01470063,0.05406308,0.96668368,0.003
74,0.00046053,0.01585229,0.00043864,0.01664006,0.05426706,0.9664318,0.003
75,0.00042653,0.0140833,0.00043311,0.01534658,0.05486016,0.96569403,0.003
76,0.00039726,0.01323183,0.00041736,0.01425571,0.05435809,0.96631908,0.003
77,0.0004042,0.01505751,0.00044691,0.01597676,0.05475871,0.96582079,0.003
78,0.00039493,0.01438719,0.00042272,0.01577548,0.05398305,0.96678224,0.003
79,0.00040374,0.01446468,0.00040747,0.01528484,0.0542015,0.96651286,0.003
80,0.00039719,0.01328084,0.00040918,0.01466703,0.05445528,0.96619854,0.003
81,0.00038409,0.01742983,0.0004646,0.01834866,0.05425969,0.96644092,0.003
82,0.000409,0.0150472,0.00042334,0.01582073,0.05457109,0.96605461,0.003
83,0.0004224,0.01815687,0.00049775,0.01952223,0.0553826,0.96503753,0.003
84,0.00049141,0.01304029,0.00042825,0.01446355,0.05433616,0.96634626,0.003
85,0.00043602,0.01370851,0.00043466,0.01501356,0.0549859,0.96553659,0.003
86,0.00039766,0.01489244,0.00045762,0.01635956,0.05565267,0.96469571,0.003
87,0.00038896,0.01479986,0.00040448,0.01493894,0.05313684,0.96781549,0.003
88,0.00050636,0.01650873,0.00046089,0.01776466,0.05376246,0.96705316,0.003
89,0.00042859,0.01408559,0.00040224,0.01483674,0.05393529,0.96684099,0.003
