output,split,bucket,count,avg_predicted,avg_target,mean_signed_error,abs_gap,mae,rmse,p90_abs_error,bucket_agreement,within_10_points_rate
jobFitAlignment.score,test,0-20,258,5.8677,6.081,-0.2133,0.2133,0.5376,1.4963,1.0567,0.9884,1.0
jobFitAlignment.score,test,21-40,102,26.756,26.8594,-0.1034,0.1034,0.4193,1.3506,0.5387,0.9804,0.9902
jobFitAlignment.score,test,41-60,75,50.2508,50.6276,-0.3768,0.3768,0.658,0.911,1.5142,1.0,1.0
jobFitAlignment.score,test,61-80,64,72.4393,70.6083,1.831,1.831,2.0428,5.5441,3.2389,0.9062,0.9062
jobFitAlignment.score,test,81-100,41,99.2576,88.4266,10.831,10.831,10.8832,21.794,46.4499,0.7317,0.7317
jobFitAlignment.score,train,0-20,1164,5.5294,5.8155,-0.2861,0.2861,0.5767,1.6326,0.9181,0.9888,1.0
jobFitAlignment.score,train,21-40,517,27.0776,27.1727,-0.0951,0.0951,0.2822,1.0015,0.5114,0.9923,0.9961
jobFitAlignment.score,train,41-60,349,50.5271,50.75,-0.223,0.223,0.5539,0.7891,1.2462,0.9971,1.0
jobFitAlignment.score,train,61-80,302,72.1399,70.1175,2.0224,2.0224,2.177,5.7788,15.6706,0.894,0.8974
jobFitAlignment.score,train,81-100,188,99.8451,90.2995,9.5456,9.5456,9.5859,20.8878,45.8369,0.7872,0.7872
jobFitAlignment.score,validation,0-20,243,5.5194,5.6793,-0.1599,0.1599,0.4438,1.362,0.6044,0.9918,1.0
jobFitAlignment.score,validation,21-40,119,27.2888,27.62,-0.3312,0.3312,0.4866,2.0264,0.5638,0.9832,0.9832
jobFitAlignment.score,validation,41-60,74,50.302,50.7186,-0.4167,0.4167,0.7039,0.933,1.3619,1.0,1.0
jobFitAlignment.score,validation,61-80,62,72.2012,69.3945,2.8067,2.8067,3.0275,6.8816,17.72,0.8548,0.8548
jobFitAlignment.score,validation,81-100,42,99.8138,94.53,5.2838,5.2838,5.6332,15.8367,41.091,0.881,0.881
atsFriendliness.score,benchmark,0-20,0,,,,,,,,,
atsFriendliness.score,benchmark,21-40,3,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
atsFriendliness.score,benchmark,41-60,6,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
atsFriendliness.score,benchmark,61-80,6,75.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
atsFriendliness.score,benchmark,81-100,6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
recommendations[].matchScore,candidate_fixture,0-20,4,16.5,15.0,1.5,1.5,2.5,3.0,4.0,1.0,1.0
recommendations[].matchScore,candidate_fixture,21-40,2,26.5,25.0,1.5,1.5,4.5,4.7434,5.7,0.5,1.0
recommendations[].matchScore,candidate_fixture,41-60,0,,,,,,,,,
recommendations[].matchScore,candidate_fixture,61-80,4,73.25,72.0,1.25,1.25,1.75,2.5981,3.8,1.0,1.0
recommendations[].matchScore,candidate_fixture,81-100,5,93.6,82.8,10.8,10.8,10.8,12.506,18.6,0.6,0.6
