epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,val_r2,learning_rate
1,0.00766284,0.07469411,0.00409018,0.07875428,0.10498424,0.87436701,0.003
2,0.00253944,0.06735083,0.00263182,0.06811127,0.09737262,0.89192402,0.003
3,0.00208081,0.05266501,0.00189961,0.05275031,0.08110511,0.92501888,0.003
4,0.00161406,0.04461628,0.00177797,0.04512225,0.07079707,0.94286712,0.003
5,0.00136579,0.03869734,0.00136236,0.03826065,0.06579627,0.95065331,0.003
6,0.0012245,0.03558213,0.00119829,0.03531998,0.06441966,0.95269659,0.003
7,0.0010706,0.03228996,0.00107765,0.03203077,0.06078011,0.95789065,0.003
8,0.00094411,0.03003647,0.00099594,0.02982346,0.05986444,0.95914987,0.003
9,0.00088028,0.02836958,0.0009362,0.02796371,0.05881794,0.96056561,0.003
10,0.00084446,0.0270758,0.00088942,0.02649053,0.05744803,0.96238112,0.003
11,0.00081164,0.02643785,0.00085839,0.0255678,0.0564364,0.96369436,0.003
12,0.00082967,0.02746302,0.00092055,0.02599134,0.05572187,0.96460785,0.003
13,0.00089593,0.03011339,0.00097931,0.02857826,0.05877603,0.96062178,0.003
14,0.00087507,0.02661619,0.00086316,0.02531856,0.05511352,0.96537643,0.003
15,0.00080386,0.02568533,0.00083577,0.02447,0.05633457,0.96382525,0.003
16,0.00075127,0.02460841,0.00080503,0.02389173,0.05489977,0.96564447,0.003
17,0.00071669,0.02352439,0.00075904,0.02265685,0.05463823,0.96597104,0.003
18,0.00070394,0.02391015,0.00076624,0.02259536,0.05458927,0.96603199,0.003
19,0.00069232,0.02169431,0.00069534,0.02073418,0.05388041,0.96690844,0.003
20,0.0006533,0.02136045,0.00068036,0.02035875,0.05374965,0.96706885,0.003
21,0.00064096,0.02111295,0.00066126,0.01991377,0.05345494,0.96742899,0.003
22,0.00065396,0.02034265,0.00066305,0.01949998,0.0538179,0.96698518,0.003
23,0.00062612,0.02043362,0.00065153,0.01958901,0.05273259,0.96830332,0.003
24,0.0006294,0.0205049,0.00067423,0.01991498,0.05310544,0.96785351,0.003
25,0.00062583,0.02060174,0.00063689,0.01990662,0.05270156,0.96834061,0.003
26,0.00061171,0.02009918,0.00064389,0.01968373,0.05359774,0.96725473,0.003
27,0.00061152,0.01947338,0.0006111,0.01840438,0.05356189,0.96729853,0.003
28,0.00058112,0.01994955,0.00062494,0.01902831,0.05301347,0.96796476,0.003
29,0.00058747,0.01891019,0.0006063,0.01817883,0.05310435,0.96785483,0.003
30,0.00058145,0.01911388,0.00060556,0.01862247,0.05083665,0.97054158,0.003
31,0.00058415,0.01911061,0.00059704,0.01872342,0.05230187,0.96881901,0.003
32,0.00058779,0.01813079,0.00061762,0.01818964,0.05135508,0.96993769,0.003
33,0.0006163,0.02134589,0.0006273,0.02048811,0.05370707,0.96712102,0.003
34,0.00064164,0.01766359,0.00058694,0.01740779,0.05090611,0.97046103,0.003
35,0.00065496,0.02295004,0.00070624,0.02194426,0.05121612,0.97010016,0.003
36,0.00065563,0.01892138,0.00062127,0.01863041,0.05177474,0.96944436,0.003
37,0.00060001,0.0201079,0.00060483,0.01933338,0.05210253,0.96905623,0.003
38,0.00060195,0.01812875,0.00057656,0.01744913,0.04877345,0.9728842,0.003
39,0.00060095,0.01954242,0.00062105,0.01945724,0.04995743,0.97155174,0.003
40,0.00061708,0.01760038,0.00056507,0.01727589,0.04943304,0.97214584,0.003
41,0.00056415,0.01704774,0.00052053,0.01667976,0.04798645,0.97375221,0.003
