output,split,bucket,count,avg_predicted,avg_target,mean_signed_error,abs_gap,mae,rmse,p90_abs_error,within_10_points_rate,bucket_agreement
jobFitAlignment.score,train,0-20,1128,5.0593,5.3616,-0.3023,0.3023,0.517,1.6808,0.5335,1.0,0.9991
jobFitAlignment.score,train,21-40,474,27.7031,27.3908,0.3123,0.3123,0.4056,0.566,0.8102,1.0,0.9578
jobFitAlignment.score,train,41-60,402,51.1928,51.0305,0.1623,0.1623,0.553,1.0997,0.904,1.0,0.9925
jobFitAlignment.score,train,61-80,292,71.5879,70.7047,0.8832,0.8832,1.5545,4.4569,1.1767,0.9281,0.9281
jobFitAlignment.score,train,81-100,224,73.6228,73.6158,0.0069,0.0069,0.2232,0.7795,0.504,0.9955,0.8527
jobFitAlignment.score,validation,0-20,239,5.2933,5.4383,-0.145,0.145,0.3796,1.333,0.4881,1.0,1.0
jobFitAlignment.score,validation,21-40,113,27.6588,27.3298,0.329,0.329,0.5004,0.7933,0.8943,1.0,0.9735
jobFitAlignment.score,validation,41-60,84,50.8627,51.3361,-0.4733,0.4733,1.1248,5.109,1.253,0.9881,0.9762
jobFitAlignment.score,validation,61-80,60,71.5959,70.0047,1.5912,1.5912,2.3033,5.6829,11.4382,0.8833,0.8833
jobFitAlignment.score,validation,81-100,44,85.8068,86.1866,-0.3798,0.3798,0.4679,1.6274,0.6132,1.0,0.9318
jobFitAlignment.score,test,0-20,252,5.467,5.7479,-0.2809,0.2809,0.5085,1.5681,0.5443,1.0,1.0
jobFitAlignment.score,test,21-40,94,27.2719,26.9368,0.3351,0.3351,0.4224,0.5536,0.8129,1.0,1.0
jobFitAlignment.score,test,41-60,87,50.9771,50.7446,0.2325,0.2325,0.7402,1.7108,1.2249,0.9885,0.977
jobFitAlignment.score,test,61-80,61,71.8146,71.1069,0.7077,0.7077,1.6269,4.3704,1.7007,0.9344,0.9344
jobFitAlignment.score,test,81-100,46,77.3694,76.4611,0.9083,0.9083,1.0984,3.7098,0.8149,0.9565,0.8043
jobFitAlignment.score,all,0-20,1619,5.1573,5.4331,-0.2758,0.2758,0.4954,1.6166,0.5311,1.0,0.9994
jobFitAlignment.score,all,21-40,681,27.6362,27.318,0.3182,0.3182,0.4237,0.6081,0.8522,1.0,0.9662
jobFitAlignment.score,all,41-60,573,51.1117,51.0319,0.0798,0.0798,0.6653,2.2626,1.0686,0.9965,0.9878
jobFitAlignment.score,all,61-80,413,71.6226,70.6624,0.9601,0.9601,1.674,4.6429,1.4147,0.9225,0.9225
jobFitAlignment.score,all,81-100,314,75.879,75.7942,0.0848,0.0848,0.3857,1.6795,0.5906,0.9904,0.8567
atsFriendliness.score,benchmark,0-20,0,,,,,,,,,
atsFriendliness.score,benchmark,21-40,3,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
atsFriendliness.score,benchmark,41-60,6,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
atsFriendliness.score,benchmark,61-80,6,75.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
atsFriendliness.score,benchmark,81-100,6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
recommendations[].matchScore,candidate_fixture,0-20,4,16.5,20.0,-3.5,3.5,3.5,4.3589,5.0,1.0,1.0
recommendations[].matchScore,candidate_fixture,21-40,2,26.5,20.0,6.5,6.5,6.5,8.5147,1.0,0.5,0.0
recommendations[].matchScore,candidate_fixture,41-60,0,,,,,,,,,
recommendations[].matchScore,candidate_fixture,61-80,4,73.25,75.0,-1.75,1.75,2.75,2.8723,3.0,1.0,1.0
recommendations[].matchScore,candidate_fixture,81-100,5,93.6,90.0,3.6,3.6,3.6,4.4272,6.0,1.0,1.0
